BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
5860.433624,1,561.87,249.5,312.37,0,0.833333,0.166667,0.75,0,0,14,6000,1990.044998,2161.428274,0,12
545.819208,1,49.55,0,49.55,0,0.25,0,0.25,0,0,3,2500,397.410932,247.041179,0,12
528.107264,1,674.52,0,674.52,0,1,0,1,0,0,12,2500,127.76546,275.706442,0,12
87.802127,0.818182,803.95,803.95,0,0,0.5,0.5,0,0,0,8,1000,1134.379946,137.584907,0.666667,12
969.294446,1,0,0,0,340.249539,0,0,0,0.083333,1,0,1200,591.853821,204.676682,0,12
1132.282217,1,0,0,0,68.520455,0,0,0,0.083333,1,0,1200,281.613657,240.366583,0,12
216.716507,1,0,0,0,810.792285,0,0,0,0.25,3,0,1800,1308.537026,94.70744,0.25,12
4855.340797,1,0,0,0,1886.470361,0,0,0,0.083333,2,0,6000,2996.735376,1855.766226,0,12
840.804076,0.666667,0,0,0,3671.777443,0,0,0,0.222222,5,0,4000,3621.266477,193.171404,0,9
1150.280984,1,450,250,200,0,0.25,0.166667,0.083333,0,0,4,1200,839.754013,766.890275,0,12
813.185305,1,8194.05,7280.27,913.78,0,1,1,1,0,0,121,6000,7069.804042,216.277252,0.583333,12
2935.397877,1,0,0,0,343.694226,0,0,0,0.333333,10,0,3000,949.675235,2723.330171,0,12
263.581756,0.727273,1944.26,700,1244.26,819.47409,0.5,0.083333,0.416667,0.083333,2,10,2700,2628.464774,78.530864,0,12
5.120644,0.2,55.55,0,55.55,0,0.1,0,0.1,0,0,1,6000,0,,0,10
646.398621,1,839.05,192.95,646.1,0,1,0.166667,1,0,0,19,4500,1350.435597,248.178351,0.083333,12
7919.563494,1,85.54,0,85.54,9945.280243,0.222222,0,0.111111,0.444444,10,2,10000,1594.977158,1712.713459,0,9
37.307085,0.833333,363.38,0,363.38,36.363896,0.833333,0,0.666667,0.166667,1,6,1200,284.093261,92.369903,0,6
2929.747983,1,376.04,222,154.04,0,0.5,0.083333,0.5,0,0,8,3000,1037.958748,1405.916655,0,12
143.443832,0.636364,1631,0,1631,0,0.583333,0,0.583333,0,0,7,2500,2550.799492,157.269321,1,12
1868.523786,1,27.89,27.89,0,47.998873,0.083333,0.083333,0,0.083333,1,2,2000,440.707307,517.115912,0,12
868.808006,1,39.83,33.5,6.33,0,0.166667,0.083333,0.083333,0,0,2,1950,264.721497,282.178494,0,12
1101.792789,1,1591.37,1591.37,0,447.953652,0.666667,0.666667,0,0.166667,2,10,3000,699.75547,228.555892,0,12
5878.663267,1,1230.08,1000,230.08,4665.557504,1,0.083333,1,0.666667,24,13,6500,2535.48125,2434.435407,0,12
1907.364819,1,192.88,138,54.88,0,0.583333,0.083333,0.5,0,0,9,7500,1484.679588,684.377166,0,12
64.677565,1,363.71,363.71,0,0,1,1,0,0,0,12,6000,343.104512,171.000625,0.083333,12
78.448912,1,1875.18,977.85,897.33,0,1,0.833333,0.916667,0,0,78,1200,1656.503571,172.161277,1,12
2274.992396,1,1794.82,1618.72,176.1,2373.651556,1,1,0.416667,0.416667,5,30,7000,722.123971,505.65312,0,12
1261.488342,1,890.2,890.2,0,0,0.5,0.5,0,0,0,9,3000,302.073647,330.87851,0,12
2063.9223,0.666667,0,0,0,3858.373703,0,0,0,0.166667,2,0,4000,5696.695114,584.843007,0,6
1922.943603,1,110.8,110.8,0,0,0.166667,0.166667,0,0,0,2,3000,551.431723,565.627471,0,12
890.633006,0.909091,756.73,756.73,0,0,0.416667,0.416667,0,0,0,9,3000,1964.578805,276.845199,0,12
1492.035204,1,2429.23,1680.7,748.53,0,1,0.166667,1,0,0,44,7000,4373.664316,373.988419,0,12
154.416929,1,483.27,483.27,0,108.462594,0.416667,0.416667,0,0.166667,2,7,500,266.232394,181.91342,0,12
69.920933,0.727273,680,0,680,0,0.727273,0,0.636364,0,0,8,3500,668.711777,184.993332,0.857143,11
1411.096444,1,270,0,270,711.48812,0.833333,0,0.833333,0.25,3,10,1500,1279.52965,902.25194,0,12
1022.687467,1,409.92,0,409.92,177.186666,1,0,1,0.25,6,12,1000,774.611541,940.657454,0,12
1928.13296,1,2133.15,1272.55,860.6,887.278353,1,0.583333,0.916667,0.166667,4,53,5900,971.9261,487.127965,0,12
51.161976,0.25,736.72,736.72,0,0,0.5,0.5,0,0,0,5,4500,1665.89154,54.443091,1,8
19.294559,1,283.8,0,283.8,0,0.666667,0,0.666667,0,0,12,2000,267.972404,173.816768,0.75,12
1421.419262,1,1669.2,274.19,1395.01,0,1,0.166667,1,0,0,65,8500,7684.307278,521.675562,0,12
673.930629,1,689.93,0,689.93,916.447583,0.833333,0,0.75,0.083333,2,14,1800,1603.66063,204.556137,0,12
1544.621765,1,1534.12,26.5,1507.62,0,1,0.083333,1,0,0,42,2000,450.412929,958.88945,0,12
398.65758,1,1331.25,349.47,981.78,647.982323,1,0.333333,0.888889,0.111111,2,20,6000,343.581118,132.768622,0,9
49.911409,1,178.4,0,178.4,0,1,0,1,0,0,12,2500,130.650758,166.81518,0,12
3613.551586,1,2653.49,2033.01,620.48,3516.374364,0.833333,0.666667,0.5,0.666667,20,38,6500,868.565652,1183.572986,0,12
4.390888,0.272727,0,0,0,19.35123,0,0,0,0.083333,1,0,500,95.983734,112.02371,0,12
89.22671,0.7,930,0,930,0,0.6,0,0.5,0,0,6,1000,1205.16186,123.823581,1,10
1317.547661,1,1987.76,1062.44,925.32,0,1,0.5,0.916667,0,0,36,6000,753.735014,306.442797,0,12
400.69973,1,3108.01,0,3108.01,0,1,0,1,0,0,16,10500,3166.91554,175.704497,0.545455,12
92.887247,1,1258.5,0,1258.5,0,1,0,0.916667,0,0,25,1000,1210.465945,163.318599,0.666667,12
1889.128442,0.909091,0,0,0,2994.518885,0,0,0,0.363636,12,0,3000,7744.256948,631.349828,0,11
6.390383,1,79.66,0,79.66,0,1,0,1,0,0,12,1500,75.896288,75.967742,0,12
